ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0051346	negative regulation of hydrolase activity	22/102	329/28905	0.0668693009118541	18.9495798319328	19.4855072224969	4.47483872239693e-22	8.35004905599267e-19	5.27088897932859e-19	Fabp1/Ahsg/Apoa1/Apoa2/Apoc1/Hrg/Apoc3/Serpinc1/Kng1/Ambp/Itih2/Serpinf1/Serpina1c/Serpina1b/Pzp/Vtn/Serpinf2/Serpinb2/Itih3/Serping1/Fetub/Serpina3k	22
GO:0008202	steroid metabolic process	22/102	360/28905	0.0611111111111111	17.3178104575163	18.5399393400762	3.18045129485931e-21	2.96736105810374e-18	1.87311842049872e-18	Ephx2/Apob/Ces1c/Apoa1/Apoa5/Apoa2/Apoc1/Acaa1b/Apoc3/Pon1/Gc/Hmgcs2/Ednrb/Cyp2e1/Apof/Cyp3a11/Apon/Rdh7/Errfi1/Cyp3a25/Apoe/Lcat	22
GO:0010466	negative regulation of peptidase activity	18/102	251/28905	0.0717131474103586	20.3222404499648	18.2962427048516	1.00935751709333e-18	6.27820375632054e-16	3.96305635658751e-16	Fabp1/Ahsg/Hrg/Serpinc1/Kng1/Ambp/Itih2/Serpinf1/Serpina1c/Serpina1b/Pzp/Vtn/Serpinf2/Serpinb2/Itih3/Serping1/Fetub/Serpina3k	18
GO:0008203	cholesterol metabolic process	15/102	152/28905	0.0986842105263158	27.9653637770898	19.8356617252369	7.56407945997611e-18	3.52864306807886e-15	2.22742234624033e-15	Ephx2/Apob/Ces1c/Apoa1/Apoa5/Apoa2/Apoc1/Apoc3/Pon1/Hmgcs2/Apof/Apon/Errfi1/Apoe/Lcat	15
GO:0006066	alcohol metabolic process	19/102	354/28905	0.0536723163841808	15.2097873047524	16.0080615074565	2.31163359053876e-17	6.30389383701627e-15	3.97927297547312e-15	Ephx2/Apob/Ces1c/Apoa1/Apoa5/Apoa2/Apoc1/Apoc3/Pon1/Rbp4/Adh1/Hmgcs2/Ednrb/Apof/Apon/Rdh7/Errfi1/Apoe/Lcat	19
GO:1902652	secondary alcohol metabolic process	15/102	164/28905	0.0914634146341463	25.9191176470588	19.0442487344396	2.41200346686655e-17	6.30389383701627e-15	3.97927297547312e-15	Ephx2/Apob/Ces1c/Apoa1/Apoa5/Apoa2/Apoc1/Apoc3/Pon1/Hmgcs2/Apof/Apon/Errfi1/Apoe/Lcat	15
GO:0016125	sterol metabolic process	15/102	165/28905	0.0909090909090909	25.7620320855615	18.9821355424842	2.64568957626822e-17	6.30389383701627e-15	3.97927297547312e-15	Ephx2/Apob/Ces1c/Apoa1/Apoa5/Apoa2/Apoc1/Apoc3/Pon1/Hmgcs2/Apof/Apon/Errfi1/Apoe/Lcat	15
GO:0045861	negative regulation of proteolysis	19/102	357/28905	0.0532212885154062	15.081973966057	15.931989042837	2.70263401372616e-17	6.30389383701627e-15	3.97927297547312e-15	Fabp1/Ahsg/Hrg/Serpinc1/Kng1/Ambp/F2/Itih2/Serpinf1/Serpina1c/Serpina1b/Pzp/Vtn/Serpinf2/Serpinb2/Itih3/Serping1/Fetub/Serpina3k	19
GO:0006959	humoral immune response	17/102	339/28905	0.0501474926253687	14.2109144542773	14.560229199765	3.9189578790035e-15	8.12530600246725e-13	5.12902206620458e-13	C8g/C8a/Cd5l/Hrg/Cfh/Kng1/Cxcl13/Hamp/Cfi/F2/Vsig4/Trf/Fcna/C4b/C4bp/Serping1/Jchain	17
GO:0052547	regulation of peptidase activity	18/102	434/28905	0.0414746543778802	11.7531851450258	13.4320044019661	1.51220924133356e-14	2.82178244432842e-12	1.78122330637079e-12	Fabp1/Ahsg/Hrg/Serpinc1/Kng1/Ambp/Itih2/Serpinf1/Serpina1c/Serpina1b/Pzp/Vtn/Serpinf2/Serpinb2/Itih3/Serping1/Fetub/Serpina3k	18
