ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0050900	leukocyte migration	22/242	402/28905	0.054726368159204	6.53663500678426	10.2716324326251	4.52618840417064e-12	1.50948383279091e-08	1.0924789485014e-08	Vegfc/Tbx21/Ccl5/Kcnn4/Vcam1/Slc12a2/Cxcl13/Ccl6/Eps8/Ednrb/Ptger4/Rpl13a/Selp/Ifng/Ccl9/F7/Cxcl3/Ecm1/Prtn3/Ptpro/Emilin1/Spn	22
GO:0007059	chromosome segregation	20/242	419/28905	0.0477326968973747	5.701295883548	8.90706654593527	4.90361544251762e-10	8.17677875039813e-07	5.9178895840489e-07	Aspm/Cdca5/Spc25/Mki67/Sgo1/Birc5/Cenpf/Cenpw/Ncapg2/Kif11/Cenpn/Syce2/Cdc6/Mybl2/Ttk/Cenpk/Prc1/Ccne1/Mapre1/Smc2	20
GO:0002449	lymphocyte mediated immunity	21/242	482/28905	0.0435684647302905	5.20391104557457	8.55200438405249	9.23557404510806e-10	9.99350188561488e-07	7.23273094727844e-07	Nkg7/Klrc1/Prf1/Tbx21/Klrb1a/Klrb1f/Klrd1/Tfrc/Klre1/Il2rb/Klrk1/Cd160/Gzmb/Ifng/Serpinb9/C1ra/C1qa/Sh2d1a/C1s1/Pou2f2/Spn	21
GO:0090068	positive regulation of cell cycle process	16/242	275/28905	0.0581818181818182	6.94936138241923	9.10860477747148	1.7018464893765e-09	9.99350188561488e-07	7.23273094727844e-07	Cdca5/Birc5/Dbf4/Rrm2/Kcnn4/Plk4/Ncapg2/Ccnd1/Fgfr1/E2f8/Ezh2/Rad51ap1/E2f7/Cdc6/Ccne1/Smc2	16
GO:0098813	nuclear chromosome segregation	17/242	317/28905	0.0536277602523659	6.40541491774643	8.89185998890801	1.79793137372382e-09	9.99350188561488e-07	7.23273094727844e-07	Aspm/Cdca5/Spc25/Sgo1/Birc5/Cenpf/Ncapg2/Kif11/Syce2/Cdc6/Mybl2/Ttk/Cenpk/Prc1/Ccne1/Mapre1/Smc2	17
GO:1901342	regulation of vasculature development	17/242	317/28905	0.0536277602523659	6.40541491774643	8.89185998890801	1.79793137372382e-09	9.99350188561488e-07	7.23273094727844e-07	Vegfc/Ccl5/Sparc/Slc12a2/Dcn/Fasl/Agtr1a/Aqp1/Ptgis/Ptger4/Cd59a/Sash1/Cd160/Hspb1/Ecm1/Pkm/Emilin1	17
GO:0001906	cell killing	16/242	285/28905	0.056140350877193	6.70552414093084	8.89424315042753	2.84376516651792e-09	1.35485097576247e-06	9.8056444012415e-07	Nkg7/Klrc1/Prf1/Gzma/Klrb1a/Klrb1f/Klrd1/Klre1/Cxcl13/Klrk1/Cd59a/Cd160/Gzmb/Ifng/Serpinb9/Sh2d1a	16
GO:0031341	regulation of cell killing	12/242	153/28905	0.0784313725490196	9.36801166747691	9.53585849889373	7.03556812528885e-09	2.93295246222979e-06	2.12270496201149e-06	Klrc1/Prf1/Klrb1a/Klrb1f/Klrd1/Klre1/Klrk1/Cd59a/Cd160/Ifng/Serpinb9/Sh2d1a	12
GO:0045765	regulation of angiogenesis	16/242	310/28905	0.0516129032258065	6.16475606504932	8.40062205569699	9.3999746438849e-09	3.4832128263729e-06	2.52095226414363e-06	Vegfc/Ccl5/Sparc/Slc12a2/Dcn/Fasl/Agtr1a/Aqp1/Ptgis/Cd59a/Sash1/Cd160/Hspb1/Ecm1/Pkm/Emilin1	16
GO:0042267	natural killer cell mediated cytotoxicity	10/242	108/28905	0.0925925925925926	11.0594582185491	9.62362476627868	2.65410938787827e-08	8.0977726825442e-06	5.8607094645542e-06	Nkg7/Klrc1/Klrb1a/Klrb1f/Klrd1/Klre1/Klrk1/Cd160/Serpinb9/Sh2d1a	10
GO:0060326	cell chemotaxis	16/242	334/28905	0.0479041916167665	5.7217795813332	7.97520872368452	2.67092952047935e-08	8.0977726825442e-06	5.8607094645542e-06	Vegfc/Ccl5/Vcam1/Slc12a2/Fgfr1/Agtr1a/Cxcl13/Ccl6/Ednrb/Rpl13a/Ifng/Hspb1/Ccl9/F7/Cxcl3/Ptpro	16
GO:0002228	natural killer cell mediated immunity	10/242	111/28905	0.0900900900900901	10.7605539423721	9.46696541671787	3.4561381154152e-08	9.60518384575808e-06	6.95168833214654e-06	Nkg7/Klrc1/Klrb1a/Klrb1f/Klrd1/Klre1/Klrk1/Cd160/Serpinb9/Sh2d1a	10
GO:0001909	leukocyte mediated cytotoxicity	12/242	179/28905	0.0670391061452514	8.00729488896071	8.64102312131322	4.08044712749166e-08	1.04679162847575e-05	7.57608523347238e-06	Nkg7/Klrc1/Prf1/Klrb1a/Klrb1f/Klrd1/Klre1/Klrk1/Cd160/Gzmb/Serpinb9/Sh2d1a	12
GO:0042269	regulation of natural killer cell mediated cytotoxicity	9/242	87/28905	0.103448275862069	12.356084354517	9.74725107703752	5.06397345977999e-08	1.20631082059759e-05	8.73059484456806e-06	Klrc1/Klrb1a/Klrb1f/Klrd1/Klre1/Klrk1/Cd160/Serpinb9/Sh2d1a	9
