"";"PROBEID";"SYMBOL";"ENTREZID";"GENENAME";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"1";"1415677_at";"Dhrs1";"52585";"dehydrogenase/reductase 1";-0,401682144815363;7,93253621549908;-1,33589236563335;0,195218247647495;0,962137603500958;-4,56364230267002
"2";"1415680_at";"Anapc1";"17222";"anaphase promoting complex subunit 1";0,333297958822696;7,20064845528619;1,23270472875262;0,230675978521355;0,962137603500958;-4,57477025517548
"3";"1415682_at";"Xpo7";"65246";"exportin 7";0,0823880938782242;10,2100610190952;0,197582257300663;0,845183140073478;0,979922481244612;-4,64161804451351
"4";"1415688_at";"Ube2g1";"67128";"ubiquitin-conjugating enzyme E2G 1";0,099877316886646;8,50968303233527;0,357860956558766;0,723852404017325;0,964615718617842;-4,63735762719551
"5";"1415691_at";"Dlg1";"13383";"discs large MAGUK scaffold protein 1";0,0893817268489911;7,95621878542297;0,309352111166806;0,759959848044625;0,967355994190942;-4,63890273958012
"6";"1415699_a_at";"Gps1";"209318";"G protein pathway suppressor 1";0,22951932567042;8,54110446915903;0,822647306321638;0,419521987380734;0,962137603500958;-4,61180397880903
"7";"1415703_at";"Huwe1";"59026";"HECT, UBA and WWE domain containing 1";0,170737872731962;8,18770681176533;0,533713244933471;0,598882931269362;0,962137603500958;-4,62993336590395
"8";"1415704_a_at";"Cdv3";"321022";"carnitine deficiency-associated gene expressed in ventricle 3";0,212839106425738;8,72962282730386;0,908490853636274;0,373448184980527;0,962137603500958;-4,60508464938956
"9";"1415708_at";"Tug1";"544752";"taurine upregulated gene 1";0,0910902162473519;9,30211303928145;0,297912082988911;0,768560975979376;0,967759004877426;-4,63923495131161
"10";"1415725_at";"Rrn3";"106298";"RRN3 RNA polymerase I transcription factor homolog (yeast)";0,181899060485593;7,07654105425589;0,611542891304294;0,547098139743513;0,962137603500958;-4,62575677436772
"11";"1415726_at";"Ankrd17";"81702";"ankyrin repeat domain 17";0,227319049321189;7,44256076274204;0,811055578366747;0,426007499591348;0,962137603500958;-4,6126662808181
"12";"1415729_at";"Pdpk1";"18607";"3-phosphoinositide dependent protein kinase 1";0,122771721598117;8,29257067457854;0,420222700315621;0,678392099975105;0,962137603500958;-4,63504924667656
"13";"1415730_at";"Cpsf7";"269061";"cleavage and polyadenylation specific factor 7";0,238571501945117;8,2864126040907;0,842799402935688;0,408395709614026;0,962137603500958;-4,61027911661527
"14";"1415753_at";"Abhd17a";"216169";"abhydrolase domain containing 17A";0,0208719760797731;8,38982626064616;0,0694121621419493;0,94528759192102;0,991196383643665;-4,64326444649263
"15";"1415756_a_at";"Snapin";"20615";"SNAP-associated protein";0,311155616424139;7,5832197911236;0,973406164499594;0,340916353817333;0,962137603500958;-4,59962314384364
"16";"1415758_at";"Fryl";"72313";"FRY like transcription coactivator";0,221308692522095;8,5854067414706;0,641483374022082;0,527825282886544;0,962137603500958;-4,62400834641756
