"";"PROBEID";"SYMBOL";"ENTREZID";"GENENAME";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"1";"1415677_at";"Dhrs1";"52585";"dehydrogenase/reductase 1";0,281379850994329;7,93253621549908;0,93579761918259;0,359520316287274;0,999418210505191;-4,62415099989025
"2";"1415680_at";"Anapc1";"17222";"anaphase promoting complex subunit 1";-0,0556218765818066;7,20064845528619;-0,205717882361717;0,838899917883119;0,999418210505191;-4,72087661962434
"3";"1415682_at";"Xpo7";"65246";"exportin 7";-0,327925732947508;10,2100610190952;-0,786428032168227;0,439992585097694;0,999418210505191;-4,65333389520055
"4";"1415688_at";"Ube2g1";"67128";"ubiquitin-conjugating enzyme E2G 1";-0,193475285406558;8,50968303233527;-0,693222974588423;0,495411972338772;0,999418210505191;-4,66922232089405
"5";"1415691_at";"Dlg1";"13383";"discs large MAGUK scaffold protein 1";-0,211859332597011;7,95621878542297;-0,733249782922668;0,47113533722639;0,999418210505191;-4,66262339237642
"6";"1415699_a_at";"Gps1";"209318";"G protein pathway suppressor 1";-0,0129922052086968;8,54110446915903;-0,0465668962162249;0,963277865367413;0,999418210505191;-4,72570007895528
"7";"1415703_at";"Huwe1";"59026";"HECT, UBA and WWE domain containing 1";-0,0644062537086008;8,18770681176533;-0,201328914966567;0,842288224573693;0,999418210505191;-4,72109090693796
"8";"1415704_a_at";"Cdv3";"321022";"carnitine deficiency-associated gene expressed in ventricle 3";-0,180922490777478;8,72962282730386;-0,772256710003531;0,448166213113246;0,999418210505191;-4,6558671236078
"9";"1415708_at";"Tug1";"544752";"taurine upregulated gene 1";-0,104252933922895;9,30211303928145;-0,34096097234348;0,736362443700405;0,999418210505191;-4,71203522458707
"10";"1415725_at";"Rrn3";"106298";"RRN3 RNA polymerase I transcription factor homolog (yeast)";-0,218873489639181;7,07654105425589;-0,735850566388201;0,469582547917064;0,999418210505191;-4,66218286390878
"11";"1415726_at";"Ankrd17";"81702";"ankyrin repeat domain 17";-0,031578047077657;7,44256076274204;-0,112667861812469;0,911313967963285;0,999418210505191;-4,72443411892339
"12";"1415729_at";"Pdpk1";"18607";"3-phosphoinositide dependent protein kinase 1";-0,188482920499807;8,29257067457854;-0,645138805457773;0,525497834143396;0,999418210505191;-4,67669561738134
"13";"1415730_at";"Cpsf7";"269061";"cleavage and polyadenylation specific factor 7";-0,0496815068797893;8,2864126040907;-0,175509413294737;0,862282146089222;0,999418210505191;-4,72225850462528
"14";"1415753_at";"Abhd17a";"216169";"abhydrolase domain containing 17A";-0,0922398303877401;8,38982626064616;-0,306754187449669;0,761910346090886;0,999418210505191;-4,71467927229793
