category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Organismal Systems	Immune system	mmu04610	Complement and coagulation cascades - Mus musculus (house mouse)	17/70	94/9567	0.180851063829787	24.7171732522796	19.8382826426437	8.46385812392157e-20	9.39488251755294e-18	7.66201893323426e-18	69379/230558/11905/12628/16644/18815/12630/14061/278180/20702/20701/12268/22370/12269/18816/18788/12258	17
Organismal Systems	Digestive system	mmu04979	Cholesterol metabolism - Mus musculus (house mouse)	7/70	50/9567	0.14	19.134	11.0369625309313	6.42979287622558e-08	3.5685350463052e-06	2.91032730187053e-06	238055/11806/11807/11812/11814/11816/16816	7
Organismal Systems	Endocrine system	mmu03320	PPAR signaling pathway - Mus musculus (house mouse)	7/70	89/9567	0.0786516853932584	10.7494382022472	7.93299592539858	3.54002538674444e-06	0.000130980939309544	0.000106821818687727	14080/11806/66113/11807/235674/11814/15360	7
Metabolism	Lipid metabolism	mmu00140	Steroid hormone biosynthesis - Mus musculus (house mouse)	6/70	99/9567	0.0606060606060606	8.28311688311688	6.2535516580853	8.0983851239532e-05	0.00224730187189701	0.00183279242278941	13105/13106/226105/76279/13112/56388	6
Human Diseases	Cancer: overview	mmu05204	Chemical carcinogenesis - DNA adducts - Mus musculus (house mouse)	5/70	90/9567	0.0555555555555556	7.59285714285714	5.39486360337481	0.000492719779407737	0.0109383791028518	0.00892082126927692	14859/13106/226105/13112/56388	5
Metabolism	Lipid metabolism	mmu00591	Linoleic acid metabolism - Mus musculus (house mouse)	4/70	55/9567	0.0727272727272727	9.93974025974026	5.70809659663172	0.000676638809931079	0.012517817983725	0.0102089364305391	13106/226105/13112/56388	4
Metabolism	Metabolism of cofactors and vitamins	mmu00830	Retinol metabolism - Mus musculus (house mouse)	5/70	102/9567	0.0490196078431373	6.69957983193277	4.9682518971018	0.000872712923064743	0.0138387334943124	0.0112862122381305	11522/226105/13112/54150/56388	5
Metabolism	Carbohydrate metabolism	mmu00030	Pentose phosphate pathway - Mus musculus (house mouse)	3/70	34/9567	0.0882352941176471	12.059243697479	5.54588780480053	0.00190820863009039	0.0264763947425041	0.0215928871299702	230163/14121/19733	3
Metabolism	Xenobiotics biodegradation and metabolism	mmu00980	Metabolism of xenobiotics by cytochrome P450 - Mus musculus (house mouse)	4/70	76/9567	0.0526315789473684	7.19323308270677	4.65360185312103	0.00226848842862188	0.0279780239530032	0.0228175444282435	11522/14859/13107/13106	4
Human Diseases	Infectious disease: parasitic	mmu05143	African trypanosomiasis - Mus musculus (house mouse)	3/70	39/9567	0.0769230769230769	10.5131868131868	5.11067711505337	0.00283921826771057	0.0315153227715874	0.025702396949801	22329/11806/16644	3
Organismal Systems	Digestive system	mmu04975	Fat digestion and absorption - Mus musculus (house mouse)	3/70	43/9567	0.0697674418604651	9.53521594684385	4.81570679791767	0.00375487082358715	0.037193649093152	0.030333369578104	14080/238055/11806	3
Metabolism	Lipid metabolism	mmu00590	Arachidonic acid metabolism - Mus musculus (house mouse)	4/70	89/9567	0.0449438202247191	6.14253611556982	4.18441731766937	0.00402093503709751	0.037193649093152	0.030333369578104	13850/17001/13106/226105	4
Metabolism	Xenobiotics biodegradation and metabolism	mmu00983	Drug metabolism - other enzymes - Mus musculus (house mouse)	4/70	95/9567	0.0421052631578947	5.75458646616541	3.99829374061084	0.00507382063003444	0.0433226223026018	0.0353318683548957	13884/99586/14859/13106	4
